machine,day,window,used_minutes,remaining_machine_capacity_minutes,utilization
1,76,4,0.0,120,0.0
1,77,1,0.0,120,0.0
1,77,2,0.0,120,0.0
1,77,3,0.0,120,0.0
1,77,4,0.0,120,0.0
1,78,1,0.0,120,0.0
1,78,2,0.0,120,0.0
1,78,3,0.0,120,0.0
1,78,4,0.0,120,0.0
1,79,1,0.0,120,0.0
1,79,2,0.0,120,0.0
1,79,3,0.0,120,0.0
1,79,4,0.0,120,0.0
1,80,1,0.0,120,0.0
1,80,2,0.0,120,0.0
1,80,3,0.0,120,0.0
1,80,4,0.0,120,0.0
1,81,1,0.0,120,0.0
1,81,2,0.0,120,0.0
1,81,3,0.0,120,0.0
1,81,4,0.0,120,0.0
1,82,1,0.0,120,0.0
1,82,2,0.0,120,0.0
1,82,3,0.0,120,0.0
1,82,4,0.0,120,0.0
1,83,1,0.0,120,0.0
1,83,2,0.0,120,0.0
1,83,3,0.0,120,0.0
1,83,4,0.0,120,0.0
1,84,1,0.0,120,0.0
1,84,2,0.0,120,0.0
1,84,3,0.0,120,0.0
1,84,4,0.0,120,0.0
2,1,1,36.0,36,1.0
2,1,2,24.0,42,0.5714285714285714
2,1,3,24.0,24,1.0
2,1,4,0.0,18,0.0
2,2,1,42.0,60,0.7
2,2,2,24.0,42,0.5714285714285714
2,2,3,12.0,48,0.25
2,2,4,12.0,18,0.6666666666666666
2,3,1,18.0,60,0.3
2,3,2,24.0,42,0.5714285714285714
2,3,3,48.0,48,1.0
2,3,4,36.0,42,0.8571428571428571
2,4,1,36.0,60,0.6
2,4,2,24.0,42,0.5714285714285714
2,4,3,36.0,48,0.75
2,4,4,54.0,54,1.0
2,5,1,54.0,60,0.9
2,5,2,24.0,60,0.4
2,5,3,48.0,60,0.8
2,5,4,24.0,54,0.4444444444444444
2,6,1,12.0,60,0.2
2,6,2,48.0,60,0.8
2,6,3,42.0,60,0.7
2,6,4,48.0,54,0.8888888888888888
2,7,1,66.0,72,0.9166666666666666
2,7,2,24.0,60,0.4
2,7,3,12.0,72,0.16666666666666666
2,7,4,48.0,54,0.8888888888888888
2,8,1,12.0,72,0.16666666666666666
2,8,2,30.0,60,0.5
2,8,3,72.0,84,0.8571428571428571
2,8,4,36.0,54,0.6666666666666666
2,9,1,42.0,72,0.5833333333333334
2,9,2,36.0,60,0.6
2,9,3,12.0,84,0.14285714285714285
2,9,4,72.0,72,1.0
2,10,1,48.0,72,0.6666666666666666
2,10,2,48.0,72,0.6666666666666666
2,10,3,60.0,96,0.625
2,10,4,60.0,72,0.8333333333333334
2,11,1,60.0,72,0.8333333333333334
2,11,2,12.0,72,0.16666666666666666
2,11,3,72.0,96,0.75
2,11,4,84.0,84,1.0
2,12,1,72.0,72,1.0
2,12,2,72.0,84,0.8571428571428571
2,12,3,60.0,96,0.625
2,12,4,72.0,84,0.8571428571428571
2,13,1,12.0,72,0.16666666666666666
2,13,2,84.0,84,1.0
2,13,3,72.0,96,0.75
2,13,4,72.0,84,0.8571428571428571
2,14,1,36.0,84,0.42857142857142855
2,14,2,96.0,96,1.0
2,14,3,84.0,96,0.875
2,14,4,84.0,84,1.0
2,15,1,60.0,96,0.625
2,15,2,60.0,96,0.625
2,15,3,60.0,96,0.625
2,15,4,96.0,96,1.0
2,16,1,48.0,96,0.5
2,16,2,84.0,96,0.875
2,16,3,84.0,96,0.875
2,16,4,84.0,96,0.875
2,17,1,84.0,96,0.875
2,17,2,24.0,96,0.25
2,17,3,60.0,108,0.5555555555555556
2,17,4,96.0,96,1.0
2,18,1,84.0,96,0.875
2,18,2,60.0,96,0.625
2,18,3,36.0,108,0.3333333333333333
2,18,4,72.0,96,0.75
2,19,1,72.0,108,0.6666666666666666
2,19,2,60.0,96,0.625
2,19,3,108.0,108,1.0
2,19,4,108.0,108,1.0
2,20,1,108.0,108,1.0
2,20,2,96.0,96,1.0
2,20,3,96.0,108,0.8888888888888888
2,20,4,96.0,108,0.8888888888888888
2,21,1,36.0,108,0.3333333333333333
2,21,2,96.0,96,1.0
2,21,3,108.0,108,1.0
2,21,4,120.0,120,1.0
2,22,1,48.0,108,0.4444444444444444
2,22,2,60.0,96,0.625
2,22,3,84.0,108,0.7777777777777778
2,22,4,84.0,120,0.7
2,23,1,60.0,120,0.5
2,23,2,36.0,96,0.375
2,23,3,36.0,108,0.3333333333333333
2,23,4,120.0,120,1.0
2,24,1,96.0,120,0.8
2,24,2,60.0,96,0.625
2,24,3,60.0,108,0.5555555555555556
2,24,4,96.0,120,0.8
2,25,1,108.0,120,0.9
2,25,2,108.0,120,0.9
2,25,3,96.0,120,0.8
2,25,4,108.0,120,0.9
2,26,1,72.0,120,0.6
2,26,2,120.0,120,1.0
2,26,3,108.0,120,0.9
2,26,4,60.0,120,0.5
2,27,1,72.0,120,0.6
2,27,2,12.0,120,0.1
2,27,3,96.0,120,0.8
2,27,4,84.0,120,0.7
2,28,1,12.0,120,0.1
2,28,2,48.0,120,0.4
2,28,3,24.0,120,0.2
2,28,4,72.0,120,0.6
2,29,1,0.0,120,0.0
2,29,2,36.0,120,0.3
2,29,3,12.0,120,0.1
2,29,4,96.0,120,0.8
2,30,1,0.0,120,0.0
2,30,2,12.0,120,0.1
2,30,3,36.0,120,0.3
2,30,4,84.0,120,0.7
2,31,1,12.0,120,0.1
2,31,2,48.0,120,0.4
2,31,3,12.0,120,0.1
2,31,4,60.0,120,0.5
2,32,1,12.0,120,0.1
2,32,2,24.0,120,0.2
2,32,3,12.0,120,0.1
2,32,4,72.0,120,0.6
2,33,1,24.0,120,0.2
2,33,2,24.0,120,0.2
2,33,3,12.0,120,0.1
2,33,4,48.0,120,0.4
2,34,1,0.0,120,0.0
2,34,2,12.0,120,0.1
2,34,3,24.0,120,0.2
2,34,4,60.0,120,0.5
2,35,1,0.0,120,0.0
2,35,2,0.0,120,0.0
2,35,3,12.0,120,0.1
2,35,4,60.0,120,0.5
2,36,1,0.0,120,0.0
2,36,2,0.0,120,0.0
2,36,3,24.0,120,0.2
2,36,4,48.0,120,0.4
2,37,1,0.0,120,0.0
2,37,2,0.0,120,0.0
2,37,3,0.0,120,0.0
2,37,4,72.0,120,0.6
2,38,1,0.0,120,0.0
2,38,2,0.0,120,0.0
2,38,3,0.0,120,0.0
2,38,4,72.0,120,0.6
2,39,1,0.0,120,0.0
2,39,2,0.0,120,0.0
2,39,3,0.0,120,0.0
2,39,4,72.0,120,0.6
2,40,1,0.0,120,0.0
2,40,2,0.0,120,0.0
2,40,3,12.0,120,0.1
2,40,4,48.0,120,0.4
2,41,1,0.0,120,0.0
2,41,2,0.0,120,0.0
2,41,3,24.0,120,0.2
2,41,4,24.0,120,0.2
2,42,1,0.0,120,0.0
2,42,2,0.0,120,0.0
2,42,3,12.0,120,0.1
2,42,4,36.0,120,0.3
2,43,1,12.0,120,0.1
2,43,2,0.0,120,0.0
2,43,3,0.0,120,0.0
2,43,4,36.0,120,0.3
2,44,1,0.0,120,0.0
2,44,2,24.0,120,0.2
2,44,3,0.0,120,0.0
2,44,4,24.0,120,0.2
2,45,1,0.0,120,0.0
2,45,2,0.0,120,0.0
2,45,3,0.0,120,0.0
2,45,4,24.0,120,0.2
2,46,1,0.0,120,0.0
2,46,2,0.0,120,0.0
2,46,3,0.0,120,0.0
2,46,4,12.0,120,0.1
2,47,1,0.0,120,0.0
2,47,2,0.0,120,0.0
2,47,3,0.0,120,0.0
2,47,4,12.0,120,0.1
2,48,1,0.0,120,0.0
2,48,2,0.0,120,0.0
2,48,3,0.0,120,0.0
2,48,4,12.0,120,0.1
2,49,1,0.0,120,0.0
2,49,2,0.0,120,0.0
2,49,3,0.0,120,0.0
2,49,4,12.0,120,0.1
2,50,1,0.0,120,0.0
2,50,2,0.0,120,0.0
2,50,3,0.0,120,0.0
2,50,4,0.0,120,0.0
2,51,1,0.0,120,0.0
2,51,2,0.0,120,0.0
2,51,3,0.0,120,0.0
2,51,4,0.0,120,0.0
2,52,1,0.0,120,0.0
2,52,2,0.0,120,0.0
2,52,3,0.0,120,0.0
2,52,4,0.0,120,0.0
2,53,1,0.0,120,0.0
2,53,2,0.0,120,0.0
2,53,3,0.0,120,0.0
2,53,4,0.0,120,0.0
2,54,1,0.0,120,0.0
2,54,2,0.0,120,0.0
2,54,3,0.0,120,0.0
2,54,4,0.0,120,0.0
2,55,1,0.0,120,0.0
2,55,2,0.0,120,0.0
2,55,3,0.0,120,0.0
2,55,4,0.0,120,0.0
2,56,1,0.0,120,0.0
2,56,2,0.0,120,0.0
2,56,3,0.0,120,0.0
2,56,4,0.0,120,0.0
2,57,1,0.0,120,0.0
2,57,2,0.0,120,0.0
2,57,3,0.0,120,0.0
2,57,4,0.0,120,0.0
2,58,1,0.0,120,0.0
2,58,2,0.0,120,0.0
2,58,3,0.0,120,0.0
2,58,4,0.0,120,0.0
2,59,1,0.0,120,0.0
2,59,2,0.0,120,0.0
2,59,3,0.0,120,0.0
2,59,4,0.0,120,0.0
2,60,1,0.0,120,0.0
2,60,2,0.0,120,0.0
2,60,3,0.0,120,0.0
2,60,4,0.0,120,0.0
2,61,1,0.0,120,0.0
2,61,2,0.0,120,0.0
2,61,3,0.0,120,0.0
2,61,4,0.0,120,0.0
2,62,1,0.0,120,0.0
2,62,2,0.0,120,0.0
2,62,3,0.0,120,0.0
2,62,4,0.0,120,0.0
2,63,1,0.0,120,0.0
2,63,2,0.0,120,0.0
2,63,3,0.0,120,0.0
2,63,4,0.0,120,0.0
2,64,1,0.0,120,0.0
2,64,2,0.0,120,0.0
2,64,3,0.0,120,0.0
2,64,4,0.0,120,0.0
2,65,1,0.0,120,0.0
2,65,2,0.0,120,0.0
2,65,3,0.0,120,0.0
2,65,4,0.0,120,0.0
2,66,1,0.0,120,0.0
2,66,2,0.0,120,0.0
2,66,3,0.0,120,0.0
2,66,4,0.0,120,0.0
2,67,1,0.0,120,0.0
2,67,2,0.0,120,0.0
2,67,3,0.0,120,0.0
2,67,4,0.0,120,0.0
2,68,1,0.0,120,0.0
2,68,2,0.0,120,0.0
2,68,3,0.0,120,0.0
2,68,4,0.0,120,0.0
2,69,1,0.0,120,0.0
2,69,2,0.0,120,0.0
2,69,3,0.0,120,0.0
2,69,4,0.0,120,0.0
2,70,1,0.0,120,0.0
2,70,2,0.0,120,0.0
2,70,3,0.0,120,0.0
2,70,4,0.0,120,0.0
2,71,1,0.0,120,0.0
2,71,2,0.0,120,0.0
2,71,3,0.0,120,0.0
2,71,4,0.0,120,0.0
