day,window,available_rtt_teams,definition,active_machines,rtt_utilization,available_rtt_teams_before_disruption,rtt_shortage_level
71,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
71,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
72,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
72,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
73,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
73,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
74,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
74,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
75,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
75,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
76,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
76,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
77,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
77,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
78,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
78,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
79,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
79,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
80,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
80,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
81,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
81,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
82,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
82,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
83,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
83,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
84,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
84,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
85,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
85,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
86,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
86,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
